Date,Price,Open,High,Low,Change %
?,,,,,
?,,,,,
?,,,,,
"Apr 03, 2020",7.0928,7.0887,7.0994,7.0802,0.12%
"Apr 02, 2020",7.0841,7.1165,7.1283,7.084,-0.23%
"Apr 01, 2020",7.1001,7.0825,7.1088,7.0798,0.25%
"Mar 31, 2020",7.0825,7.0965,7.1019,7.0803,-0.25%
"Mar 30, 2020",7.1003,7.0963,7.1051,7.0872,0.06%
,,,,,
,,,,,
"Mar 27, 2020",7.0963,7.063,7.0998,7.0557,0.32%
"Mar 26, 2020",7.0735,7.0949,7.122,7.0686,-0.58%
"Mar 25, 2020",7.1148,7.0631,7.118,7.049,0.73%
"Mar 24, 2020",7.063,7.087,7.0928,7.0572,-0.42%
"Mar 23, 2020",7.0925,7.0997,7.1232,7.0788,-0.05%
,,,,,
,,,,,
"Mar 20, 2020",7.096,7.1075,7.1076,7.0502,-0.17%
"Mar 19, 2020",7.1083,7.0474,7.127,7.0474,0.86%
"Mar 18, 2020",7.0474,7.0203,7.0479,7.0078,0.56%
"Mar 17, 2020",7.0079,6.9951,7.0249,6.9869,0.21%
"Mar 16, 2020",6.9934,7.0016,7.0251,6.9896,-0.22%
,,,,,
,,,,,
"Mar 13, 2020",7.0086,7.0299,7.0379,6.9773,-0.30%
"Mar 12, 2020",7.0294,6.9611,7.0373,6.9611,0.99%
"Mar 11, 2020",6.9605,6.9584,6.9656,6.9442,0.06%
"Mar 10, 2020",6.9564,6.94,6.9612,6.9284,0.14%
"Mar 09, 2020",6.9466,6.9108,6.955,6.9108,0.21%
,,,,,
,,,,,
"Mar 06, 2020",6.9321,6.9441,6.9601,6.9261,-0.07%
"Mar 05, 2020",6.9373,6.9378,6.9444,6.9295,0.16%
"Mar 04, 2020",6.9262,6.9422,6.9523,6.9215,-0.51%
"Mar 03, 2020",6.962,6.9605,6.9873,6.9595,0.01%
"Mar 02, 2020",6.961,6.974,6.9778,6.9516,-0.44%
,,,,,
,,,,,
"Feb 28, 2020",6.992,7.0033,7.0133,6.9797,-0.18%
"Feb 27, 2020",7.0045,7.0155,7.0222,7.0008,-0.26%
"Feb 26, 2020",7.0225,7.0126,7.026,7.0126,0.13%
"Feb 25, 2020",7.0135,7.011,7.0197,7.008,-0.23%
"Feb 24, 2020",7.0294,7.0385,7.0406,7.0237,0.03%
,,,,,
,,,,,
"Feb 21, 2020",7.0271,7.0296,7.0442,7.0263,0.06%
"Feb 20, 2020",7.0229,7.0075,7.0262,7.0027,0.35%
"Feb 19, 2020",6.9982,7.0058,7.0133,6.9893,0.01%
"Feb 18, 2020",6.9972,6.9854,7.0088,6.9854,0.23%
"Feb 17, 2020",6.9813,6.9806,6.9832,6.9718,-0.08%
,,,,,
,,,,,
"Feb 14, 2020",6.9869,6.9734,6.9879,6.9734,0.14%
"Feb 13, 2020",6.977,6.9736,6.9862,6.9724,0.07%
"Feb 12, 2020",6.9719,6.9672,6.9771,6.9592,0.08%
"Feb 11, 2020",6.966,6.9834,6.9834,6.9595,-0.26%
"Feb 10, 2020",6.9844,7.0001,7.0038,6.9772,-0.24%
,,,,,
,,,,,
"Feb 07, 2020",7.0015,6.9776,7.002,6.9759,0.44%
"Feb 06, 2020",6.9707,6.9749,6.9829,6.9563,-0.04%
"Feb 05, 2020",6.9738,6.9978,7.0088,6.9668,-0.35%
"Feb 04, 2020",6.9985,7.0213,7.0213,6.9871,-0.33%
"Feb 03, 2020",7.0215,6.9371,7.0256,6.9371,1.22%
,,,,,
,,,,,
"Jan 31, 2020",6.9367,6.9367,6.9367,6.9367,0.00%
"Jan 30, 2020",6.9367,6.9367,6.9367,6.9367,0.00%
"Jan 29, 2020",6.9367,6.9367,6.9367,6.9367,0.00%
"Jan 28, 2020",6.9367,6.9367,6.9367,6.9367,0.00%
"Jan 27, 2020",6.9367,6.9367,6.9367,6.9367,0.00%
,,,,,
,,,,,
"Jan 24, 2020",6.9367,6.9367,6.9367,6.9367,0.00%
"Jan 23, 2020",6.9367,6.906,6.9367,6.906,0.44%
"Jan 22, 2020",6.9066,6.9104,6.9196,6.8986,0.01%
"Jan 21, 2020",6.9059,6.8773,6.9097,6.8765,0.57%
"Jan 20, 2020",6.8669,6.8594,6.867,6.8403,0.10%
,,,,,
,,,,,
"Jan 17, 2020",6.8598,6.8757,6.8792,6.8525,-0.28%
"Jan 16, 2020",6.8789,6.8849,6.8939,6.8762,-0.17%
"Jan 15, 2020",6.8909,6.8938,6.8989,6.8837,0.10%
"Jan 14, 2020",6.8841,6.8759,6.8895,6.8654,-0.14%
"Jan 13, 2020",6.8937,6.9121,6.9157,6.8849,-0.37%
,,,,,
,,,,,
"Jan 10, 2020",6.9192,6.9318,6.9398,6.917,-0.18%
"Jan 09, 2020",6.9318,6.9319,6.9362,6.921,-0.21%
"Jan 08, 2020",6.9462,6.9543,6.9556,6.9373,0.01%
"Jan 07, 2020",6.9452,6.9679,6.9711,6.929,-0.44%
"Jan 06, 2020",6.976,6.9686,6.9797,6.9683,0.15%
,,,,,
,,,,,
"Jan 03, 2020",6.9655,6.9616,6.9759,6.9616,0.02%
"Jan 02, 2020",6.9643,6.9597,6.9741,6.9569,0.02%
"Jan 01, 2020",6.9632,6.9632,6.9657,6.9632,0.00%
"Dec 31, 2019",6.9632,6.9832,6.987,6.9556,-0.34%
